nodes,flows,pps,pkt_size,tx_range,coverage_mult,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
80,30,100,1024,4,1,40,0.445026,19.5912,93.3612,5.00759,2693.62
80,30,100,1024,5,1,40,0.438909,16.6084,94.3093,4.80769,2693.54
80,30,200,1024,2,1,40,1.29952,26.3104,96.074,2.78038,2713.21
80,30,200,1024,3,1,40,1.46164,28.0557,96.1252,1.88084,2720.43
80,30,200,1024,4,1,40,1.30945,19.7658,95.9851,2.78111,2712.57
80,30,200,1024,5,1,40,1.14109,25.9619,95.9124,2.4587,2711.72
80,30,300,1024,2,1,40,2.39118,31.1328,96.0781,2.61707,2739.7
80,30,300,1024,3,1,40,2.59189,37.562,95.9281,2.41119,2755.38
80,30,300,1024,4,1,40,1.77461,24.2432,96.2334,2.27295,2726.19
80,30,300,1024,5,1,40,1.70195,24.6704,96.5777,1.95783,2726.02
80,30,400,1024,2,1,40,2.30455,23.4504,96.7798,2.08729,2731.21
80,30,400,1024,3,1,40,2.99644,34.9965,95.9959,2.52368,2762.48
80,30,400,1024,4,1,40,2.43301,30.4013,96.5089,2.42477,2747.76
80,30,400,1024,5,1,40,2.88298,41.1443,96.0146,2.25224,2759.39
80,30,500,1024,2,1,40,2.13026,22.1932,97.0923,1.6484,2729.84
80,30,500,1024,3,1,40,3.295,29.7571,95.281,3.97623,2765.78
80,30,500,1024,4,1,40,3.41682,33.7444,96.614,2.57977,2769.57
80,30,500,1024,5,1,40,3.36064,36.5005,96.0559,2.91483,2769.56
80,40,100,1024,2,1,40,0.400205,15.611,92.1511,5.51941,2691.63
80,40,100,1024,3,1,40,0.608051,12.6039,93.489,5.08139,2697.03
80,40,100,1024,4,1,40,0.500843,19.8995,92.886,4.92245,2695.5
80,40,100,1024,5,1,40,0.575352,14.7181,93.8644,4.24542,2702.3
80,40,200,1024,2,1,40,0.82968,14.0627,95.7669,3.2619,2702.2
80,40,200,1024,3,1,40,1.85755,33.3089,96.2378,2.54277,2731.85
80,40,200,1024,4,1,40,1.71965,36.4262,95.1062,2.98281,2732.39
80,40,200,1024,5,1,40,1.22484,25.9601,94.3537,3.82812,2714
80,40,300,1024,2,1,40,2.5764,39.933,95.2169,3.20895,2756.95
80,40,300,1024,3,1,40,2.28681,29.7999,95.9211,2.56322,2741.5
80,40,300,1024,4,1,40,1.85138,27.9929,96.0156,2.99544,2729.11
80,40,300,1024,5,1,40,2.40278,39.7565,94.8744,2.93669,2752.69
80,40,400,1024,2,1,40,3.11892,41.7159,94.8928,3.51279,2765.71
80,40,400,1024,3,1,40,2.65246,33.4876,95.1352,3.09457,2754.47
80,40,400,1024,4,1,40,2.86595,35.7949,94.704,3.79325,2765.85
80,40,400,1024,5,1,40,3.02935,38.8182,95.1728,3.36634,2767.12
80,40,500,1024,2,1,40,4.13749,44.9398,95.8813,2.60297,2774.43
80,40,500,1024,3,1,40,3.96225,47.6538,94.3736,3.99084,2783.42
80,40,500,1024,4,1,40,3.36375,44.5418,95.0133,3.7211,2775.74
80,40,500,1024,5,1,40,4.32402,51.4733,96.8057,2.35297,2788.14
80,50,100,1024,2,1,40,0.400205,15.611,92.1511,5.51941,2691.63
80,50,100,1024,3,1,40,0.608051,12.6039,93.489,5.08139,2697.03
80,50,100,1024,4,1,40,0.500843,19.8995,92.886,4.92245,2695.5
80,50,100,1024,5,1,40,0.575352,14.7181,93.8644,4.24542,2702.3
80,50,200,1024,2,1,40,0.82968,14.0627,95.7669,3.2619,2702.2
80,50,200,1024,3,1,40,1.85755,33.3089,96.2378,2.54277,2731.85
